indicativo,nombre,ubicacion,codigo,temMin,diaMin,anioMin,mesMin,temMax,diaMax,anioMax,mesMax,temMedBaja,anioMedBaja,mesMedBaja,temMedAlta,anioMedAlta,mesMedAlta,temMedMin,anioMedMin,mesMedMin,temMedMax,anioMedMax,mesMedMax
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-63,26,2011,12,230,28,2021,8,56,2005,2,97,2024,7,-2,2002,12,153,2024,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-54,26,2001,12,232,3,2021,8,43,2005,2,105,2021,7,-4,2002,12,166,2020,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-68,11,2010,12,321,23,2001,8,78,2005,2,129,2001,7,17,2003,12,196,2023,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-15,1,2001,12,329,29,2023,8,101,2002,2,141,2023,7,36,1995,12,210,2023,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,6,1,2001,12,363,14,2015,8,129,2004,2,184,1999,7,71,2019,12,254,2000,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,63,2,2016,12,371,25,2001,8,175,2010,2,234,2022,7,110,2010,12,304,2022,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,81,7,1997,12,414,18,2023,8,211,1997,2,262,2023,7,136,1996,12,331,2022,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,77,31,1993,12,414,25,2000,8,205,2002,2,255,2023,7,145,2002,12,330,2000,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,57,28,1995,12,356,4,2016,8,169,1996,2,218,2021,7,113,1996,12,279,1999,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,16,27,2010,12,331,28,1999,8,136,1996,2,190,2022,7,77,1998,12,253,2022,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-24,24,1999,12,263,7,2013,8,85,2001,2,136,2022,7,34,2017,12,187,2023,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-71,25,2001,12,236,14,2000,8,44,2001,2,121,2022,7,-12,2001,12,176,2022,7
B013X,"ESCORCA, LLUC",ILLES BALEAR,023000,-71,25,2001,12,414,25,2000,8,43,2005,2,262,2023,7,-12,2001,12,331,2022,7
